INCI Name,Japanese Name
Water,水
Glycerin,グリセリン
Butylene Glycol,BG (ブチレングリコール)
Squalane,スクワラン
Tocopherol,トコフェロール
Sodium Hyaluronate,ヒアルロン酸Na
Ceramide NP,セラミドNP
Retinol,レチノール
Centella Asiatica Oil,ツボクサ油
Niacinamide,ナイアシンアミド
Ellagic Acid,エラグ酸
Panthenol,パンテノール
Horse Fat,馬油
Butyrospermum Parkii (Shea) Butter,シア脂
Allantoin,アラントイン
Arginine,アルギニン
Ethylparaben,エチルパラベン
Kojic Acid,コウジ酸
Cutibacterium Acnes,アクネ菌
Curcuma Longa (Turmeric) Root Powder,ウコン根
Citric Acid,クエン酸
Kaolin,カオリン
Formic Acid,ギ酸
Guanine,グアニン
Cinnamic Acid,ケイヒ酸
Coral Powder,サンゴ
Cocos Nucifera (Coconut) Oil,ヤシ油
Glycine Max (Soybean) Oil,ダイズ油
Cysteine,システイン
Sodium Chloride,塩化Na
